Geonames	Waterbody Name	 Number of Stations	Is drinking water	Cyanobacteria exposure category	CyAN object ID	centroid latitude	centroid longitude	area (km2)	elevation (m)	CyAN data	COEPHT data	Cells present	toxins tested	toxins detected	zipcode adjacent	is recreation	zipcode water source	Notes	More information
https://www.geonames.org/5577172/fossil-creek-reservoir.html	Fossil Creek Reservoir	2		chronic		40.49032	-105.00809			Y	N	Y	N		80528	Yes - restricted			https://www.fcgov.com/naturalareas/finder/fcr
https://www.geonames.org/5577179/foster-reservoir.html	Foster Reservoir	1				40.1946	-104.98842			Y		Y							
https://www.geonames.org/5422533/fruit-growers-reservoir.html	Fruit Growers Reservoir	2		chronic		38.82947	-107.94537			Y	Y	Y	Y	Y		Yes - no water contact activities		toxins measured in three years and detected in two	https://www.recreation.gov/camping/gateways/53
https://www.geonames.org/5423500/gould-reservoir.html	Gould Reservoir	1				38.60268	-107.57942			Y		Y							
https://www.geonames.org/5577532/grand-lake.html	Grand Lake	1				40.24357	-105.81465			Y		Y							
https://www.geonames.org/5423695/grass-valley-reservoir.html	Grass Valley Reservoir	2								Y	Y	Y							
https://www.geonames.org/5423793/great-western-reservoir.html	Great Western Reservoir	1		chronic		39.89704	-105.1534			Y	N	Y	N		80027, 80021	Yes			plutonium?
https://www.geonames.org/5423850/green-mountain-reservoir.html	Green Mountain Reservoir	4	Yes		2761511	39.87136202	-106.285201	8.27	2423.61	Y	Y	Y	Y	N				toxins tested in one year only and not detected	
https://www.geonames.org/5423943/griffith-lake.html	Griffith Lake	1								Y		Y							
https://www.geonames.org/5424005/gross-reservoir.html	Gross Reservoir	8	Yes		2769029	39.9466131	-105.369743	1.68	2220.44	Y		Y							
https://www.geonames.org/5424261/hallenbeck-reservoir.html	Hallenbeck Reservoir	1				38.96925	-108.29126			Y		Y							
https://www.geonames.org/5577751/halligan-reservoir.html	Halligan Reservoir	1			5173121	40.8819	-105.34877			Y		Y							
	Hamilton Reservoir	1		chronic						Y	N	Y	N			No		not named in geonames	https://coloradobirdingtrail.com/site/hamilton-reservoir/
https://www.geonames.org/5577768/handy-reservoir.html	Handy Reservoir	1			2230355	40.32852	-105.11616			Y		Y							
https://www.geonames.org/5424549/haviland-lake.html	Haviland Lake	1				37.53518	-107.81067			Y		Y							
https://www.geonames.org/5424691/heart-lake-reservoir.html	Heart Lake Reservoir	1			2160329	39.76769	-107.32569			Y		Y							
	Henderson Tailings Pond	2								Y		Y						found on map, but not in geonames	
https://www.geonames.org/5424851/hermit-lakes.html	Hermit Lakes	1		chronic		37.79765	-107.23871			Y	N	Y	N			Unclear			
https://www.geonames.org/5424854/hermit-number-1-reservoir.html	Hermit Number 1 Reservoir	1		chronic		37.8043	-107.22453			Y	N	Y	N			Unclear			
